ASSET_UNIT_ID,ASSET_UNIT_NAME,ASSET_UNIT_PROJECT,ASSET_STATUS_ACTIVITY,ASSET_STATUS_ACTIVITY_ACCURACY,ASSET_VALUECHAIN_SEGMENT2,ASSET_STATUS_LIFECYCLE1,ASSET_STATUS_LIFECYCLE_ACCURACY,ASSET_OWNERSHIP_PROMOTER,ASSET_UNIT_SCOPE,ASSET_CAPACITY_YEAR,ASSET_CAPACITY_YEAR_ACCURACY,ASSET_CARBON_INTENSITY,ASSET_LOCATION_GPS-ACCURACY,ASSET_LOCATION_GPS-LONGITUDE,ASSET_LOCATION_GPS-LATITUDE
ASFR230001,H2EVA Sainte-Marie-aux-Mines - Hydrogen refueling station,H2EVA Sainte-Marie-aux-Mines,active,reported,refueling,operational,reported,Saintes-Marie-aux-Mines,,-,-,,Nearest city center,7.16637,48.23104
ASFR230002,AVIA Montmarault - Hydrogen refueling station,AVIA Montmarault,active,unless stated otherwise,refueling,construction,estimated,Thevenin-Ducrot,,-,-,,Nearest city center,2.96057,46.32101
ASFR230003,DATS24 Innovia Dôle - Hydrogen refueling station,DATS24 Dôle,active,reported,refueling,operational,reported,Colruyt,,-,-,,Nearest known address,5.42560,47.07538
ASFR230004,Hympulsion Annecy - Hydrogen refueling station,Hympulsion Annecy,active,unless stated otherwise,refueling,development,estimated,Hympulsion,"Station de distribution d'hydrogène de 400 kg/jour, évolutive à 800 kg/jour",-,-,,Nearest city center,6.12936,45.89905
ASFR230005,HysetCo Paris Porte de Saint-Cloud - Hydrogen refueling station,HysetCo Porte de Saint-Cloud,active,reported,refueling,operational,reported,HysetCo,,-,-,,Nearest known address,2.25750,48.83853
ASFR230006,Hympulsion Moûtiers - Hydrogen refueling station,Hympulsion Moûtiers,active,reported,refueling,operational,reported,Hympulsion,,-,-,,Nearest known address,6.52601,45.48199
ASFR230008,HysetCo Le Bourget Phase 1 - Hydrogen refueling station,HysetCo Le Bourget ,active,reported,refueling,operational,reported,HysetCo,"On March 19, 2024, HysetCo inaugurated a hydrogen refuelling station with a capacity of 650 kg per day. 
The station is equipped with two distribution systems, operating at 350 and 700 bar. In a first phase, hydrogen will be delivered to the station, then in a second phase, an electrolyzer will be installed to increase production capacity and enable on-site distribution of up to 1 tonne per day.",-,-,,exact site location,2.43836,48.96648
ASFR230009,HysetCo Orly ouest - Hydrogen refueling station,HysetCo Orly,active,reported,refueling,operational,reported,HysetCo,Station dédiée à la recharge des taxis HyPE et soutenue par le programme européen H2ME1.,-,-,,Nearest known address,2.36567,48.73277
ASFR230010,HysetCo Roissy CDG - Hydrogen refueling station,HysetCo Roissy CDG,active,reported,refueling,operational,reported,HysetCo,"Anciennement propriété d'Air Liquide, la station hydrogène de Roissy a été reprise depuis début 2021 par HysetCo (Station dédiée à la recharge des taxis HyPE et soutenue par le programme européen H2ME2)",-,-,,Nearest known address,2.61164,49.00767
ASFR230011,HysetCo Porte de la Chapelle - Hydrogen refueling station,HysetCo Porte de la Chapelle,active,reported,refueling,operational,reported,HysetCo,,-,-,,Exact site location,2.35900,48.90496
